\begin{tabular}{lrrr}
\toprule
{} &  param\_p &  param\_q &          AIC \\
\midrule
0  &      0.0 &      0.0 &  5505.958495 \\
1  &      0.0 &      1.0 &  5434.013071 \\
2  &      0.0 &      2.0 &  5417.736817 \\
3  &      0.0 &      3.0 &  5408.272835 \\
4  &      0.0 &      4.0 &  5409.723613 \\
5  &      1.0 &      0.0 &  5418.292293 \\
6  &      1.0 &      1.0 &  5389.304100 \\
7  &      1.0 &      2.0 &  5361.244706 \\
8  &      1.0 &      3.0 &  5359.804689 \\
9  &      1.0 &      4.0 &  5360.461888 \\
10 &      2.0 &      0.0 &  5407.197255 \\
11 &      2.0 &      1.0 &  5358.686425 \\
12 &      2.0 &      2.0 &  5359.544853 \\
13 &      2.0 &      3.0 &  5359.670518 \\
14 &      2.0 &      4.0 &  5360.034903 \\
15 &      3.0 &      0.0 &  5403.907123 \\
16 &      3.0 &      1.0 &  5405.607140 \\
17 &      3.0 &      2.0 &  5356.961935 \\
18 &      3.0 &      3.0 &  5357.460277 \\
19 &      3.0 &      4.0 &  5348.299337 \\
20 &      4.0 &      0.0 &  5405.804537 \\
21 &      4.0 &      1.0 &  5361.415229 \\
22 &      4.0 &      2.0 &  5357.155366 \\
23 &      4.0 &      3.0 &  5347.842859 \\
24 &      4.0 &      4.0 &  5349.731115 \\
25 &      5.0 &      0.0 &  5402.454880 \\
26 &      5.0 &      1.0 &  5359.745029 \\
27 &      5.0 &      2.0 &  5359.138578 \\
28 &      5.0 &      3.0 &  5349.752980 \\
29 &      5.0 &      4.0 &  5345.991822 \\
30 &      6.0 &      0.0 &  5403.848191 \\
31 &      6.0 &      1.0 &  5401.384029 \\
32 &      6.0 &      2.0 &  5358.235824 \\
33 &      6.0 &      3.0 &  5351.368287 \\
34 &      6.0 &      4.0 &  5347.990097 \\
35 &      7.0 &      0.0 &  5399.681518 \\
36 &      7.0 &      1.0 &  5361.528839 \\
37 &      7.0 &      2.0 &  5360.209326 \\
38 &      7.0 &      3.0 &  5351.281342 \\
39 &      7.0 &      4.0 &  5352.114291 \\
40 &      8.0 &      0.0 &  5392.849374 \\
41 &      8.0 &      1.0 &  5363.464459 \\
42 &      8.0 &      2.0 &  5360.535487 \\
43 &      8.0 &      3.0 &  5351.618036 \\
44 &      8.0 &      4.0 &  5353.577381 \\
45 &      9.0 &      0.0 &  5390.224566 \\
46 &      9.0 &      1.0 &  5364.417654 \\
47 &      9.0 &      2.0 &  5362.529746 \\
48 &      9.0 &      3.0 &  5353.559232 \\
49 &      9.0 &      4.0 &  5350.001719 \\
50 &     10.0 &      0.0 &  5388.426859 \\
51 &     10.0 &      1.0 &  5366.203639 \\
52 &     10.0 &      2.0 &  5363.060490 \\
53 &     10.0 &      3.0 &  5364.847506 \\
54 &     10.0 &      4.0 &  5351.994225 \\
55 &     11.0 &      0.0 &  5386.035063 \\
56 &     11.0 &      1.0 &  5387.031605 \\
57 &     11.0 &      2.0 &  5364.988456 \\
58 &     11.0 &      3.0 &  5357.449793 \\
59 &     11.0 &      4.0 &  5353.975524 \\
\bottomrule
\end{tabular}
