\begin{tabular}{lrrr}
\toprule
{} &  param\_p &  param\_q &          AIC \\
\midrule
0  &      0.0 &      0.0 &  5618.145619 \\
1  &      0.0 &      1.0 &  5529.838334 \\
2  &      0.0 &      2.0 &  5515.926056 \\
3  &      0.0 &      3.0 &  5514.019211 \\
4  &      0.0 &      4.0 &  5515.706790 \\
5  &      1.0 &      0.0 &  5514.658086 \\
6  &      1.0 &      1.0 &  5509.925445 \\
7  &      1.0 &      2.0 &  5451.896212 \\
8  &      1.0 &      3.0 &  5514.233607 \\
9  &      1.0 &      4.0 &  5516.199015 \\
10 &      2.0 &      0.0 &  5511.438969 \\
11 &      2.0 &      1.0 &  5450.947278 \\
12 &      2.0 &      2.0 &  5452.850591 \\
13 &      2.0 &      3.0 &  5455.360059 \\
14 &      2.0 &      4.0 &  5454.670581 \\
15 &      3.0 &      0.0 &  5512.595865 \\
16 &      3.0 &      1.0 &  5452.801449 \\
17 &      3.0 &      2.0 &  5453.929177 \\
18 &      3.0 &      3.0 &  5448.370283 \\
19 &      3.0 &      4.0 &  5439.912187 \\
20 &      4.0 &      0.0 &  5514.064234 \\
21 &      4.0 &      1.0 &  5451.745845 \\
22 &      4.0 &      2.0 &  5456.797890 \\
23 &      4.0 &      3.0 &  5442.572771 \\
24 &      4.0 &      4.0 &  5426.946436 \\
25 &      5.0 &      0.0 &  5498.243119 \\
26 &      5.0 &      1.0 &  5448.955103 \\
27 &      5.0 &      2.0 &  5449.241714 \\
28 &      5.0 &      3.0 &  5441.193441 \\
29 &      5.0 &      4.0 &  5410.355993 \\
30 &      6.0 &      0.0 &  5493.694351 \\
31 &      6.0 &      1.0 &  5448.874487 \\
32 &      6.0 &      2.0 &  5450.786522 \\
33 &      6.0 &      3.0 &  5441.801041 \\
34 &      6.0 &      4.0 &  5413.917296 \\
35 &      7.0 &      0.0 &  5488.021139 \\
36 &      7.0 &      1.0 &  5450.839600 \\
37 &      7.0 &      2.0 &  5452.637641 \\
38 &      7.0 &      3.0 &  5441.504581 \\
39 &      7.0 &      4.0 &  5443.473267 \\
40 &      8.0 &      0.0 &  5487.365996 \\
41 &      8.0 &      1.0 &  5452.403406 \\
42 &      8.0 &      2.0 &  5454.507257 \\
43 &      8.0 &      3.0 &  5443.421544 \\
44 &      8.0 &      4.0 &  5458.142024 \\
45 &      9.0 &      0.0 &  5488.924364 \\
46 &      9.0 &      1.0 &  5454.301707 \\
47 &      9.0 &      2.0 &  5456.391962 \\
48 &      9.0 &      3.0 &  5444.787381 \\
49 &      9.0 &      4.0 &  5447.269471 \\
50 &     10.0 &      0.0 &  5486.975015 \\
51 &     10.0 &      1.0 &  5454.572660 \\
52 &     10.0 &      2.0 &  5458.203613 \\
53 &     10.0 &      3.0 &  5445.434731 \\
54 &     10.0 &      4.0 &  5446.098790 \\
55 &     11.0 &      0.0 &  5475.199466 \\
56 &     11.0 &      1.0 &  5456.572660 \\
57 &     11.0 &      2.0 &  5457.593077 \\
58 &     11.0 &      3.0 &  5445.292414 \\
59 &     11.0 &      4.0 &  5447.224234 \\
\bottomrule
\end{tabular}
